id,category,question,ground_truth,Base_LLM_answer,Base_LLM_latency,Base_LLM_context,RAG_answer,RAG_latency,RAG_context,RAG_Verify_answer,RAG_Verify_latency,RAG_Verify_context,RAG_CoVe_answer,RAG_CoVe_latency,RAG_CoVe_context
QA001,常识,水的化学式是什么？,水的化学式是 H2O。,水的化学式是H2O。,2.3057,,抱歉，提供的信息不足以回答该问题。,0.0005,"常见电池通过内部化学反应将化学能转化为电能。外电路接通后，电荷在电路中定向移动，设备便可以获得电能并工作。
---
需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。
---
煮沸可以杀灭许多常见微生物，但并不意味着所有有害物质都能通过烧开去除。例如某些化学污染物、重金属或耐热毒素并不会因为水被煮沸而完全消失。",【拒答】检索证据的相关性或唯一性不足，无法可靠回答。,0.0,"常见电池通过内部化学反应将化学能转化为电能。外电路接通后，电荷在电路中定向移动，设备便可以获得电能并工作。
---
需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。
---
煮沸可以杀灭许多常见微生物，但并不意味着所有有害物质都能通过烧开去除。例如某些化学污染物、重金属或耐热毒素并不会因为水被煮沸而完全消失。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.002,"常见电池通过内部化学反应将化学能转化为电能。外电路接通后，电荷在电路中定向移动，设备便可以获得电能并工作。
---
需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。
---
煮沸可以杀灭许多常见微生物，但并不意味着所有有害物质都能通过烧开去除。例如某些化学污染物、重金属或耐热毒素并不会因为水被煮沸而完全消失。
---
在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。
---
设计模式与框架都能支持复用，但二者层次不同。设计模式是解决设计问题的抽象经验，框架则通常是一组可运行的软件结构和代码基础。把设计模式等同于框架会造成概念混淆。"
QA002,常识,地球绕着哪个天体公转？,地球绕太阳公转。,地球绕着太阳公转。,2.2544,,地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。,0.0005,"地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
二氧化碳是常见的温室气体之一。它能够吸收并重新辐射部分地表发出的红外辐射，从而增强温室效应。温室效应本身有助于维持地球温度，但过量增强可能影响气候系统。",地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。,0.0,"地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
二氧化碳是常见的温室气体之一。它能够吸收并重新辐射部分地表发出的红外辐射，从而增强温室效应。温室效应本身有助于维持地球温度，但过量增强可能影响气候系统。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0015,"地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
二氧化碳是常见的温室气体之一。它能够吸收并重新辐射部分地表发出的红外辐射，从而增强温室效应。温室效应本身有助于维持地球温度，但过量增强可能影响气候系统。
---
月球本身不会像恒星一样发光。人们看到明亮的月面，主要是因为月球表面反射了太阳光。
---
IP 地址用于在网络中标识设备的位置，便于数据包在网络中被寻址和转发。域名系统可以把便于记忆的域名转换为对应的 IP 地址。"
QA003,常识,地球唯一的天然卫星是什么？,地球唯一的天然卫星是月球。,地球唯一的天然卫星是金星。,2.2851,,地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。,0.0011,"地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
月球本身不会像恒星一样发光。人们看到明亮的月面，主要是因为月球表面反射了太阳光。",【拒答】检索证据的相关性或唯一性不足，无法可靠回答。,0.001,"地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
月球本身不会像恒星一样发光。人们看到明亮的月面，主要是因为月球表面反射了太阳光。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0,"地球绕自身地轴自转，一次自转大约需要 24 小时。由于太阳光只能照亮地球面向太阳的一侧，地球自转使不同地区交替进入白天和黑夜，从而形成昼夜交替现象。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
月球本身不会像恒星一样发光。人们看到明亮的月面，主要是因为月球表面反射了太阳光。
---
现代天文学通常认为太阳系有八大行星。冥王星曾被归为行星，但后来被重新分类为矮行星，因此不再计入八大行星之中。
---
需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。"
QA004,常识,真空中的光速约为多少？,真空中的光速约为每秒 299792458 米。,真空中的光速是3.0×10^8米/秒。,2.3511,,声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。,0.0006,"声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。",声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。,0.0003,"声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0,"声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
绿色植物通过光合作用利用光能，把二氧化碳和水转化为有机物，并释放氧气。光合作用主要发生在含有叶绿素的细胞结构中，例如叶绿体。
---
缓冲区用于协调高速部件和低速部件之间的速度差异，减少频繁等待。例如输入输出系统中常通过缓冲区暂存数据，从而提高设备和 CPU 的并行工作程度。"
QA005,常识,标准大气压下，水的沸点约是多少摄氏度？,标准大气压下，水的沸点约为 100 摄氏度。,标准大气压下，水的沸点约为100摄氏度。,2.3842,,在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。,0.0014,"在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
煮沸可以杀灭许多常见微生物，但并不意味着所有有害物质都能通过烧开去除。例如某些化学污染物、重金属或耐热毒素并不会因为水被煮沸而完全消失。",在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。,0.0,"在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
煮沸可以杀灭许多常见微生物，但并不意味着所有有害物质都能通过烧开去除。例如某些化学污染物、重金属或耐热毒素并不会因为水被煮沸而完全消失。",在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。,0.0,"在标准大气压下，纯水的沸点通常为 100 摄氏度。沸点会受到气压影响，海拔越高气压越低，水的沸点通常会下降，因此高原地区烧水不一定能达到平原地区同样的温度。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
煮沸可以杀灭许多常见微生物，但并不意味着所有有害物质都能通过烧开去除。例如某些化学污染物、重金属或耐热毒素并不会因为水被煮沸而完全消失。
---
数据压缩可分为无损压缩和有损压缩。无损压缩可以在解压后恢复原始数据，常用于文本和程序文件；有损压缩会丢弃部分信息，常用于图片、音频和视频。
---
地震震级用于表示地震释放能量的大小，而烈度描述某一地区受到地震影响和破坏的程度。同一次地震只有一个震级，但不同地点的烈度可以不同。"
QA006,常识,圆周率 π 表示什么？,π 表示圆的周长与直径的比值。,圆周率 π 表示π，是数学中一个非常重要的常数，它表示圆的周长与直径之比。在数学和科学领域中，π是一个无理数，它的值为3.1415926535897932385...,2.9391,,抱歉，提供的信息不足以回答该问题。,0.0007,"需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。
---
进程常见状态包括就绪、运行和阻塞。就绪态表示进程已经具备运行条件但尚未获得 CPU；运行态表示进程正在 CPU 上执行；阻塞态表示进程等待某个事件完成，例如等待 I/O。
---
选择运算根据给定条件从关系中筛选行，记作 σ；投影运算从关系中选取指定属性列，记作 π。选择改变元组数量，投影改变属性列集合，并可能去除重复元组。",【拒答】检索证据的相关性或唯一性不足，无法可靠回答。,0.0,"需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。
---
进程常见状态包括就绪、运行和阻塞。就绪态表示进程已经具备运行条件但尚未获得 CPU；运行态表示进程正在 CPU 上执行；阻塞态表示进程等待某个事件完成，例如等待 I/O。
---
选择运算根据给定条件从关系中筛选行，记作 σ；投影运算从关系中选取指定属性列，记作 π。选择改变元组数量，投影改变属性列集合，并可能去除重复元组。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0,"需求工程包括需求获取、需求分析、需求规格说明、需求验证和需求管理等活动。其目标是理解用户真正需要什么，并把这些需求以清晰、可检查的形式表达出来。
---
进程常见状态包括就绪、运行和阻塞。就绪态表示进程已经具备运行条件但尚未获得 CPU；运行态表示进程正在 CPU 上执行；阻塞态表示进程等待某个事件完成，例如等待 I/O。
---
选择运算根据给定条件从关系中筛选行，记作 σ；投影运算从关系中选取指定属性列，记作 π。选择改变元组数量，投影改变属性列集合，并可能去除重复元组。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
信号量是一种同步与互斥机制，通常配合 P 操作和 V 操作使用。P 操作表示申请资源，可能导致进程阻塞；V 操作表示释放资源，可能唤醒等待进程。"
QA007,常识,DNA 的经典结构通常被称为什么？,DNA 的经典结构通常被称为双螺旋结构。,DNA的经典结构通常被称为双螺旋结构。,2.2976,,DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。,0.0006,"DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。
---
DMA 控制器可以在外设和内存之间直接传输数据。CPU 通常负责初始化 DMA 传输参数并在传输完成后处理中断，但大批量数据搬运过程主要由 DMA 控制器完成。
---
进程是程序的一次执行过程，通常拥有独立的地址空间和系统资源，是操作系统进行资源分配的基本单位。线程存在于进程内部，同一进程中的多个线程可以共享该进程的资源，线程通常被看作 CPU 调度的基本单位。",DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。,0.0,"DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。
---
DMA 控制器可以在外设和内存之间直接传输数据。CPU 通常负责初始化 DMA 传输参数并在传输完成后处理中断，但大批量数据搬运过程主要由 DMA 控制器完成。
---
进程是程序的一次执行过程，通常拥有独立的地址空间和系统资源，是操作系统进行资源分配的基本单位。线程存在于进程内部，同一进程中的多个线程可以共享该进程的资源，线程通常被看作 CPU 调度的基本单位。",DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。,0.0,"DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。
---
DMA 控制器可以在外设和内存之间直接传输数据。CPU 通常负责初始化 DMA 传输参数并在传输完成后处理中断，但大批量数据搬运过程主要由 DMA 控制器完成。
---
进程是程序的一次执行过程，通常拥有独立的地址空间和系统资源，是操作系统进行资源分配的基本单位。线程存在于进程内部，同一进程中的多个线程可以共享该进程的资源，线程通常被看作 CPU 调度的基本单位。
---
体系结构设计关注系统的高层结构，包括主要组件、组件之间的连接方式、数据流和控制关系。良好的架构可以影响系统的性能、可维护性、安全性和可扩展性。
---
酸和碱发生反应时，通常会生成盐和水，这类反应称为中和反应。例如盐酸与氢氧化钠反应可以生成氯化钠和水。"
QA008,常识,成年人全身骨骼通常约有多少块？,成年人全身骨骼通常约有 206 块。,成年人的全身骨骼大约有206块，包括脊柱、骨盆、四肢和躯干等。,2.4449,,抱歉，提供的信息不足以回答该问题。,0.0,"光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
进程控制块 PCB 是操作系统管理进程的重要数据结构，通常保存进程标识、状态、程序计数器、寄存器内容、调度信息、内存信息和打开文件等内容。操作系统通过 PCB 感知和控制进程。",【拒答】检索证据的相关性或唯一性不足，无法可靠回答。,0.0,"光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
进程控制块 PCB 是操作系统管理进程的重要数据结构，通常保存进程标识、状态、程序计数器、寄存器内容、调度信息、内存信息和打开文件等内容。操作系统通过 PCB 感知和控制进程。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0022,"光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
干燥空气中含量最多的气体是氮气，约占空气体积分数的 78%；氧气约占 21%。空气中还含有少量氩气、二氧化碳和其他气体。
---
进程控制块 PCB 是操作系统管理进程的重要数据结构，通常保存进程标识、状态、程序计数器、寄存器内容、调度信息、内存信息和打开文件等内容。操作系统通过 PCB 感知和控制进程。
---
月球本身不会像恒星一样发光。人们看到明亮的月面，主要是因为月球表面反射了太阳光。
---
数据脱敏是保护个人信息的一种常见方法。它通过隐藏、替换或模糊化姓名、手机号、身份证号等敏感字段，降低数据泄露后的风险。"
QA009,常识,植物进行光合作用通常需要哪些基本条件？,植物光合作用通常需要光、二氧化碳和水。,植物进行光合作用通常需要以下基本条件：充足的阳光、适宜的温度和湿度、水分充足、无污染的土壤等。,2.4975,,绿色植物通过光合作用利用光能，把二氧化碳和水转化为有机物，并释放氧气。光合作用主要发生在含有叶绿素的细胞结构中，例如叶绿体。,0.0005,"绿色植物通过光合作用利用光能，把二氧化碳和水转化为有机物，并释放氧气。光合作用主要发生在含有叶绿素的细胞结构中，例如叶绿体。
---
死锁产生通常需要四个必要条件：互斥条件、请求并保持条件、不可剥夺条件和循环等待条件。破坏其中任意一个条件，都可以用于预防死锁。
---
进程是程序的一次执行过程，通常拥有独立的地址空间和系统资源，是操作系统进行资源分配的基本单位。线程存在于进程内部，同一进程中的多个线程可以共享该进程的资源，线程通常被看作 CPU 调度的基本单位。",绿色植物通过光合作用利用光能，把二氧化碳和水转化为有机物，并释放氧气。光合作用主要发生在含有叶绿素的细胞结构中，例如叶绿体。,0.001,"绿色植物通过光合作用利用光能，把二氧化碳和水转化为有机物，并释放氧气。光合作用主要发生在含有叶绿素的细胞结构中，例如叶绿体。
---
死锁产生通常需要四个必要条件：互斥条件、请求并保持条件、不可剥夺条件和循环等待条件。破坏其中任意一个条件，都可以用于预防死锁。
---
进程是程序的一次执行过程，通常拥有独立的地址空间和系统资源，是操作系统进行资源分配的基本单位。线程存在于进程内部，同一进程中的多个线程可以共享该进程的资源，线程通常被看作 CPU 调度的基本单位。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0,"绿色植物通过光合作用利用光能，把二氧化碳和水转化为有机物，并释放氧气。光合作用主要发生在含有叶绿素的细胞结构中，例如叶绿体。
---
死锁产生通常需要四个必要条件：互斥条件、请求并保持条件、不可剥夺条件和循环等待条件。破坏其中任意一个条件，都可以用于预防死锁。
---
进程是程序的一次执行过程，通常拥有独立的地址空间和系统资源，是操作系统进行资源分配的基本单位。线程存在于进程内部，同一进程中的多个线程可以共享该进程的资源，线程通常被看作 CPU 调度的基本单位。
---
DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。
---
线程共享所属进程的大部分资源，因此通常不被描述为系统资源分配的基本单位。某些系统会为线程保存独立栈和寄存器上下文，但这不等于线程拥有完全独立的地址空间。"
QA010,常识,声音能在真空中传播吗？,声音不能在真空中传播。,声音在真空中是无法传播的，因为真空不能传声。,2.3674,,声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。,0.0005,"声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
在生态系统中，能量通常沿食物链从生产者传递到消费者。能量在传递过程中会有损失，因此越高营养级能够获得的能量通常越少。",声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。,0.0,"声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
在生态系统中，能量通常沿食物链从生产者传递到消费者。能量在传递过程中会有损失，因此越高营养级能够获得的能量通常越少。",【拒答】独立核查未找到足够一致的证据，无法可靠回答。,0.0,"声音是机械波，需要空气、水或固体等介质传播。在真空中没有可供振动传递的介质，因此声音不能在真空中传播。
---
光年不是时间单位，而是距离单位。它表示光在真空中传播一年所经过的距离，常用于描述恒星、星系等天体之间的巨大距离。
---
在生态系统中，能量通常沿食物链从生产者传递到消费者。能量在传递过程中会有损失，因此越高营养级能够获得的能量通常越少。
---
民族志方法在软件工程中常用于需求获取。研究者通过观察用户在真实工作环境中的行为、交流和工具使用，发现用户可能难以主动说出的隐性需求。
---
DNA 是生物体中重要的遗传物质，携带遗传信息。基因是 DNA 上具有特定功能的片段，能够影响生物体的性状和蛋白质合成过程。"
